@relation 'DatasetName: -C -15'
@attribute docs string
@attribute l_appointment {0,1}
@attribute l_chore {0,1}
@attribute l_family {0,1}
@attribute l_finance {0,1}
@attribute l_friends {0,1}
@attribute l_home {0,1}
@attribute l_leisure {0,1}
@attribute l_mlcourse {0,1}
@attribute l_reading {0,1}
@attribute l_school {0,1}
@attribute l_shop {0,1}
@attribute l_sport {0,1}
@attribute l_travel {0,1}
@attribute l_urgent {0,1}
@attribute l_work {0,1}

@data
'Review the lecture about association rules',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Support the new collegue with his project',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Take a drink with Sarah',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Buy the newest novel of Pieter Aspe',0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
'Help my dad paint the living room',0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
'Bring all my 5 euro bills to the bank',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Bring my borrowed books to the library before 4pm',0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
'Ask my boss for a raise',0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
'Take part in the local running contest',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Go to the dentist on friday at 6pm',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Hand in the CPL project',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Clean my room',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Find a good hotel in Barcelona',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Ask Ben for the money he borrowed',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'Take some rest when I get home',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'Buy a4 paper, post-its and pencils',0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
'Check the upcoming weather in Berlin',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Saturday 19: Movie night',0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
'Read up on Support Vector Machines',0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
'Visit uncle Arthur',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Finish reading  A Farewell to Arms  currently at page 105',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Consultation Doctor Houben 26 November 20:00',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Take out the garbage',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Take another loan',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Buy fishing equipment on way to boat',0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
'Inform Mark that the deadline has moved',0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
'Do the dishes',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Figure out who to contact, ISP got messed up',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'MLaII schedule changed, lessons on mondays, starting 14 Nov.',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Sportus Saturday 09:00 Train long-distance running',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Tell Matthias I can t make it to the party',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'Buy bread and 5 slices of Leerdammer Light',0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
'New Dresden Codak comic out on Thursday',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Doctor Claeys blood-check 9 December, 10 am',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Tom is at Berlin from Wednesday to Tuesday',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
'Buy a new suitcase',0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
'Read book for project Machine Learning',0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
'Go to meeting for project',1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
'Buy a new football',0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
'Play football with friends',0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'Clean my bedroom',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Buy pencils for my little brother',0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
'Go to the dentist',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Buy books for my little brother',0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
'Buy a sponge',0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
'Clean the garden',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Make dinner',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Go to the bank',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Evaluate the stock market',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Go to Scorpions on November 26',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Read the books of Stieg Larsson',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Wallpaper the kitchen',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Recharge batteries for my bike headlight',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Download all the course documents',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Buy some toys for the children',0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
'Visit a friend in the hospital',0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
'Go to football training on Friday',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Meet the project advisor for the project of the software-design course',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Search for a summer job',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Book a vacation',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Do the dishes after dinner',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Read the first chapter of the book "Machine Learning and Inductive Inference"',0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
'Withdraw 100d from the bank account',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Buy a new bike to climb the Mont Ventoux this summer',0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
'Watch the latest movie of Harry Potter in cinema',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Go to the doctor',1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Remove weeds from the lawn',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Read the article about the cycling race yesterday',0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
'Fire all the employees who don t work hard',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Deposit the money earned for helping grandmother',0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
'Take the flight to New York',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Send a mail to confirm the team for the project about tag prediction',0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
'Ask father to repair the bike',0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
'Go to the theater with friends',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Do your math homework',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Go to the bank to open an account',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Buy bread and yoghurt',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'Do the dishes',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Pay the rent in the Post office',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Go to the cinema with a couple of friends',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Finish the Machine Learning report and dataset',0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
'Start reading the Godel, Escher, Bach book',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Go to the meeting with prof. Smith',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Go to the gymnastics practice',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Buy some socks',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'Apply for the trip to Antwerp',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Go with friends to the Bowling alley',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Vacuum clean your room',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Go swimming in the University pool',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Find a present for the anniversary for the girlfriend',0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
'Change a tire on the bike',0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
'Pickup the package from the Post office',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Study the literature for the Machine Learning project',0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
'Change the firmware on your smartphone',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Buy the ingredients for making lunch',0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
'Study for the internship interview',0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
'Be at home when the interview is set',1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'Meet the girlfriend in the City center',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Go home for Christmas',0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
'Ask grandma for the cake recipe',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Pay for the concert tickets through PayPal',0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
'Visit Paris and the Louvre museum',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Go to the Machine Learning lecture',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Read The Hobbit book before seeing the movies',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Do the laundry',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Go to the park for picnic',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Help your cousin to move a bookcase',0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
'Apply for the government scholarship',0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
'Organize a barbecue event',0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
'Do the laboratory exercises for the Chemistry class',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Get a new mattress for your bed',0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
'Ride your bike around the city',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Buy Christmas presents for your friends',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
'Clean your room',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Fix dad s computer',0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
'Pick up the credit card in the bank',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Practice for the Geography exam',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Plan a trip around the country',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Contact the Internet Service Provider Company about their offer',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'Go with your mother to the theater',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Mow the lawn in the backyard',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Go to the doctor for immediate checkup',1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Make project prolog',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Go to the Football practice on monday',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Borrow Playstation game Tom',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Return book to library',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Finish literature study machine learning',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Book vacation Turkey',0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
'Make doctor appointment',1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Buy new football shoes',0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
'Clean my room',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'Pay back Tom',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'Go to dentist',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Visit uncle in hospital',0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
'Finish presentation PenO',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Sell Dexia stocks',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Help father in garden',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Visit Steve Jobs grave',0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
'Send complaint to professor of operating systems about the kernel project',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Oral exam databases',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Read book Harry Potter',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Go to movies with girlfriend',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Buy new hard disk',0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
'Lunch with boss transport department',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Go to physiotherapist',1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Help brother with Task mathematics',0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'Complete evaluation Machine learning course',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Send mail to Apple for Job Application',0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
'Call pet control',0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
'Go to party for Lara s birthday',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Collect information about javascript',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Visit Jonathan in Swiss',0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
'Celebrate Berlusconi s resignation in Italy',0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
'Go to barber',1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Pick up new car',1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Plan meeting for reorganization R\&D department',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Go to family dinner sunday',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Go to lan party',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Check exchange rate Drachme - Dollar',0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
'Make facebook account',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Do guided tour Leuven',1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Buy new toothbrush',0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
'Tennis with Willem',1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'Print boarding tickets',0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
'Mow the lawn',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Chapter 4 of Machine Learning',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Write paper for distributed systems',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Call Mom to ask for extra allowance',0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
'Wedding present for Willem and Katie',0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'Board game evening',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Do the dishes',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Pay the rent',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Finish task on linear algebra',0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
'Pay 20 euros back to Jonas',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'Read the Lord of the Rings',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Queue for ticket for Stephen Hawking',0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
'Pay Bram to write my task for machine learning',0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
'Choose destination for journey next summer',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Print photos for sister',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Watch latest episode of the Big Bang Theory',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'Throw my birthday party',0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
'Reading chapter about Genetic Algorithms',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Working in the garden',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Buying christmas presents',0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
'Playing the piano',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Going to the bank',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Participating in the IEEEXtreme contest',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Preparing exercises for Artificial Intelligence course',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Going to the movies with Jonas and karel',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Clean bedroom',0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
'Change car oil',0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
'Buy halloween costume',0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
'Watch match of the Jupiler Pro League',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Going home for the weekend',0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
'Repair the CRT TV',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'View latest episode of the IT Crowd',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Throw a New Year s party',0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
'Visiting my sister in Kortrijk',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
'Paying the electricity bill',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Reading the Hitchhiker s Guide to the Galaxy',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Go to the gym',0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
'Prepare machine learning project',1,1,0,0,0,0,0,1,1,1,0,0,0,1,1
'Buy gift for birthday party Frank',0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
'Read material on natural language processing',0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
'Read course text machine learning',0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
'Go home on friday for family dinner',0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
'Go to the dentist tomorrow',1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
'Buy new sweaters',0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
'Buy sugar',0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
'fix bike',0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
'Work on prolog project',0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
'finish piece report operating systems paper',0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
'Clean home',0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
'Ask parents about ski trip after exams with friends',0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
'Party next week?',0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
'Go to jeroen tomorrow for machine learning @14u',1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
'Study complex systems',0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
'Work with Niels on distributed systems friday',1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Arrange trip to Switzerland',0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
'Apply for Athens-programme',0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
'Prepare breakfast for grandmother',0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
'bring notes of Machine learning course to Bart',0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
'swim training tonight at 9 PM with David',1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'fix the television',0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
'pay the electricity bill before tomorrow',0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
'tomorrow meeting with assistent of Machine learning course',1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'educative city trip to Paris with Ine',0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
'help neighbour with internet courses',0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
'buy new course material for the machine learning course',0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
'buy mother a nice birthday gift before the market closes',0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
'open a new bankaccount to save money for my new bike',0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
'review last week’s course slides',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'practice my C++ coding skills for my next project',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Buy a bigger computerscreen for tomorrow’s schoolproject',0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
'give computerlessons at 7PM to my sister',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'clean up the garden',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'drive my sister to school at 5pm',1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
'read the manual for the new kitchen robot',0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
'pay my neighbour my debts',0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
